Gold_Ingredient_Name,CAS_Number,Banned_in_California,Banned_in_Taiwan,Banned_in_EU,Aliases,Notes
"6-(2-Chloroethyl)-6-(2-Methoxyethoxy)-2,5,7,10-Tetraoxa-6-Silaundecane",37894-46-5,No,No,Yes,,(EC) 2009/1223
"6-(2-Methoxyethoxy)- 6-Vinyl-2,5,7,10-Tetraoxa-6-Silaundecane",1067-53-4,No,No,Yes,,(EU) 2021/1902
"6-(Piperidinyl)-2,4-Pyrimidinediamine-3-Oxide (Minoxidil (Inn)) And Its Salts",38304-91-5,No,No,Yes,,(EC) 2009/1223
"6--2,4-Pyrimidinediamine 3-Oxide ) And Its Salts",38304-91-5,No,Yes,No,,
"6-Amino-2-((2,4-Dimethylphenyl)-1H-Benz[De]Isoquinoline-1,3(2H)-Dione (Solvent Yellow 44) And Its Salts, When Used As A Substance In Hair Dye Products",2478-20-8,No,No,Yes,,(EC) 2009/1223
"6-Amino-2--1H-Benz[De]Isoquinoline-1,3-Dione  And Its Salts",2478-20-8,No,Yes,No,,
6-Amino-O-Cresol And Its Salts,17672-22-9,No,Yes,No,,
"6-Amino-O-Cresol And Its Salts, When Used As A Substance In Hair Dye Products",17672-22-9,No,No,Yes,,(EC) 2009/1223
6-Chloro-2-(6-Chloro-4-Methyl-3-Oxobenzo[B]Thien-2(3H)-Ylidene)-4-Methylbenzo[B]Thiophene-3(2H)-One (Vat Red 1,2379-74-0,No,No,Yes,,(EC) 2013/344
6-Glycidyloxynapht-1-Yl Oxymethyloxirane,27610-48-6,No,No,Yes,,(EU) 2019/831
"6-Hydroxy-1-(3-Isopropoxypropyl)-4-Methyl-2-Oxo-5-[4-(Phenylazo)Phenylazo]-1,2-Dihydro-3-Pyridinecarbonitrile",85136-74-9,No,No,Yes,,(EC) 2009/1223
6-Iodo-2-Propoxy-3-Propylquinazolin-4(3H)-One,189278-12-4,No,No,Yes,,(EU) 2019/831
"6-Isopropyl-2-Decahydronaphthalenol, When Used As A Fragrance Ingredient",34131-99-2,No,No,Yes,,(EC) 2009/1223
"6-Methoxy-2,3-Pyridinediamine And Its Hcl Salt",94166-62-8,No,Yes,No,,
"6-Methoxy-2,3-Pyridinediamine And Its Hcl Salt, When Used As A Substance In Hair Dye Products",94166-62-8,No,No,Yes,,(EC) 2009/1223
6-Methoxy-M-Toluidine,120-71-8,No,Yes,No,,
6-Methoxy-M-Toluidine (P-Cresidine),120-71-8,No,No,Yes,,(EC) 2009/1223
6-Methylcoumarin,92-48-8,No,Yes,No,,口腔製劑另有規定者除外. 
"6-Nitro-2,5-Pyridinediamine And Its Salts",69825-83-8,No,Yes,No,,
"6-Nitro-2,5-Pyridinediamine And Its Salts, When Used As A Substance In Hair Dye Products",69825-83-8,No,No,Yes,,(EC) 2009/1223
6-Nitro-O-Toluidine,570-24-1,No,No,Yes,,(EC) 2009/1223
"6-[(C10-C13)-Alkyl-(Branched, Unsaturated)-2,5-Dioxopyrrolidin-1-Yl]Hexanoic Acid",2156592-54-8,No,No,Yes,,(EU) 2023/1490
"6-[C12-18-Alkyl-(Branched, Unsaturated)-2,5-Dioxopyrrolidin-1-Yl]Hexanoic Acid",,No,No,Yes,,(EU) 2023/1490
"6-[C12-18-Alkyl-(Branched, Unsaturated)-2,5-Dioxopyrrolidin-1-Yl]Hexanoic Acid, Sodium And Tris(2-Hydroxyethyl)Ammonium Salts",,No,No,Yes,,(EU) 2023/1490
"7,11-Dimethyl-4,6,10-Dodecatrien-3-One (Pseudomethylionone), When Used As A Fragrance Ingredient",26651-96-7,No,No,Yes,,(EC) 2009/1223
"7-Ethoxy-4-Methylcoumarin, When Used As A Fragrance Ingredient",87-05-8,No,No,Yes,,(EC) 2009/1223
7-Methoxy-6-(3-Morpholin-4-Yl-Propoxy)-3H-Quinazolin-4-One,199327-61-2,No,No,Yes,,(EU) 2019/831
"7-Methoxycoumarin, When Used As A Fragrance Ingredient",531-59-9,No,No,Yes,,(EC) 2009/1223
"7-Methylcoumarin, When Used As A Fragrance Ingredient",2445-83-2,No,No,Yes,,(EC) 2009/1223
7-Oxabicyclo[4.1.0]Hept-3-Ylmethyl 7-Oxabicyclo[4.1.0]Heptane-3-Carboxylate,2386-87-0,No,No,Yes,,(EU) 2026/78
7-[2-Hydroxy-3-(N-(2-Hydroxyethyl)-N-Methylamino)Propyl]Theophylline,2530-97-4,No,No,Yes,,(EC) 2009/1223
"8,18-Dichloro-5,15-Diethyl-5,15-Dihydrodiindolo[3,2-B:3',2'-M]Triphenodioxazine (Pigment Violet 23",6358-30-1,No,No,Yes,,(EC) 2013/344
"8-(2,6-Diethyl-4-Methylphenyl)-7-Oxo-1,2,4,5-Tetrahydro-7H-Pyrazolo[1,2-D][1,4,5]Oxadiazepin-9-Yl 2,2-Dimethylpropanoate",243973-20-8,No,No,Yes,,(EU) 2019/1966
"8-Tert-Butyl-1,4-Dioxaspirol[4.5]Decan-2-Ylmethyl(Ethyl)(Propyl)Amine",118134-30-8,No,No,Yes,,(EU) 2019/831
"9,10-Anthracenedione, 1-[(2-Hydroxyethyl)Amino]-4-(Methylamino)-, And Its Derivatives And Salts, When Used As A Substance In Hair Dye Products","2475-46-9, 86722-66-9",No,No,Yes,,(EC) 2009/1223
"9,10-Anthracenedione, 1-[Amino]-4--, And Its Derivatives And Salts",2475-46-9/86722-66-9,No,Yes,No,,
"9,10-Anthraquinone",84-65-1,No,No,Yes,,(EU) 2019/831
9-Ethylcarbazol-3-Ylamine,132-32-1,No,No,Yes,,(EU) 2019/831
9-Vinylcarbazole,1484-13-5,No,No,Yes,,(EC) 2009/1223
> 0.1 % W/W Butadiene,68307-99-3,No,No,Yes,,(EC) 2009/1223
A 2:1 Mixture Of:,140698-96-0,No,No,Yes,,(EC) 2009/1223
A Mixture Of:,163879-69-4,No,No,Yes,,(EC) 2009/1223
"A Mixture Of: 4-[[Bis-(4-Fluorophenyl)Methylsilyl]Methyl]-4H-1,2,4-Triazole And 1-[[Bis-(4-Fluorophenyl)Methylsilyl]Methyl]-1H-1,2,4-Triazole",,No,No,Yes,,(EC) 2009/1223
A Mixture Of: N-[3-Hydroxy-2-(2-Methylacryloylaminomethoxy)Propoxymethyl]-2-Methylacrylamide And,,No,No,Yes,,(EC) 2009/1223
"A,A,A-Trifluoro-2,6-Dinitro-N,N-Dipropyl-P-Toluidine",1582-09-8,No,No,Yes,,(EU) 2019/831
A-(Diethoxy-Phosphinothioylimino) Phenylacetonitrile,14816-18-3,No,No,Yes,,(EU) 2019/831
"A-Tert-Butyl-Ss-(4-Chlorophenoxy)-1H-1,2,4-Triazole-1-Ethanol",55219-65-3,No,No,Yes,,(EU) 2019/831
Abamectin (Combination Of Avermectin B1A And Avermectin B1B) (Iso),"71751-41-2, 65195-55-3",No,No,Yes,,(EU) 2019/831
"Absorption Oils, Bicyclo Arom. And Heterocylic Hydrocarbon Fraction, If They Contain > 0.005 % W/W Benzo[A]Pyrene",101316-45-4,No,No,Yes,,(EC) 2009/1223
Acenocoumarol,152-72-7,No,Yes,No,,
Acenocoumarol (Inn),152-72-7,No,No,Yes,,(EC) 2009/1223
Acetaldehyde,75-07-0,Yes,No,Yes,,Ban Year: 2027 | (EU) 2019/831
Acetamide,60-35-5,No,Yes,Yes,,(EC) 2009/1223
Acetamiprid (Iso),"135410-20-7, 160430-64-8",No,No,Yes,,(EU) 2023/1490
Acetochlor (Iso),34256-82-1,No,No,Yes,,(EU) 2019/1966
Acetone Oxime,127-06-0,No,No,Yes,,(EU) 2026/78
Acetonitrile,75-05-8,No,Yes,Yes,,(EC) 2009/1223
Acetyl Heptapeptide-9 Colloidal Gold (Nano) [Inci],"7440-57-5, 1360157-34-1",No,No,Yes,,(EU) 2024/858
Acetyl Tetrapeptide-17 Colloidal Platinum (Nano) [Inci],7440-06-4,No,No,Yes,,(EU) 2024/858
Acid Orange 24,1320-07-6,No,Yes,No,,
"Acid Orange 24 (Ci 20170), When Used As A Substance In Hair Dye Products",1320-07-6,No,No,Yes,,(EC) 2009/1223
Acid Red 73,5413-75-2,No,Yes,No,,
"Acid Red 73 (Ci 27290), When Used As A Substance In Hair Dye Products",5413-75-2,No,No,Yes,,(EC) 2009/1223
Aclonifen (Iso),74070-46-5,No,No,Yes,,(EU) 2019/831
Aconitine (Principal Alkaloid Of Aconitum Napellus L.) And Its Salts,302-27-2,No,No,Yes,,(EC) 2009/1223
Aconitum Napellus L.,84603-50-9,No,Yes,No,,
"Aconitum Napellus L. (Leaves, Roots And Galenical Preparations)",84603-50-9,No,No,Yes,,(EC) 2009/1223
Acrolein,107-02-8,No,Yes,No,,
Acrylamide,79-06-1,No,Yes,No,,"如化粧品中使用含Polyacrylamides 及其相關聚合物成分之原料時, 則其最終製品中所含Acrylamide之殘留量不得超過0.1ppm;對於使用後須沖洗掉或非駐留身體肌膚用之化粧品, 其最終製品中所含Acrylamide之殘留量不得超過0.5ppm. "
"Acrylamide, Unless Regulated Elsewhere In This Regulation",79-06-1,No,No,Yes,,(EC) 2009/1223
Acrylonitrile,107-13-1,No,Yes,Yes,,(EC) 2009/1223
Adonis Vernalis L. And Its Preparations,84649-73-0,No,Yes,Yes,,(EC) 2009/1223
Alachlor (Iso),15972-60-8,No,No,Yes,,(EC) 2009/1223
Alanroot Oil,97676-35-2,No,Yes,No,,
"Alanroot Oil (Inula Helenium L.) (Cas No 97676-35-2), When Used As A Fragrance Ingredient",97676-35-2,No,No,Yes,,(EC) 2009/1223
Aldrin,309-00-2,No,Yes,No,,
Aldrin (Iso),309-00-2,No,No,Yes,,(EC) 2009/1223
Alkali Pentacyanonitrosylferrate (2-),"14402-89-2, 13755-38-9",No,No,Yes,,(EC) 2009/1223
"Alkanes, C1-2, If They Contain > 0.1% W/W Butadiene",68475-57-0,No,No,Yes,,(EC) 2009/1223
"Alkanes, C1-4, C3-Rich, If They Contain > 0.1% W/W Butadiene",90622-55-2,No,No,Yes,,(EC) 2009/1223
"Alkanes, C10-13, Chloro",85535-84-8,No,No,Yes,,(EC) 2009/1223
"Alkanes, C12-26-Branched And Linear, Except If The Full Refining History Is Known And It Can Be Shown That The Substance From Which It Is Produced Is Not A Carcinogen",90622-53-0,No,No,Yes,,(EC) 2009/1223
"Alkanes, C2-3, If They Contain > 0.1% W/W Butadiene",68475-58-1,No,No,Yes,,(EC) 2009/1223
"Alkanes, C3-4, If They Contain > 0.1% W/W Butadiene",68475-59-2,No,No,Yes,,(EC) 2009/1223
"Alkanes, C4-5, If They Contain > 0.1% W/W Butadiene",68475-60-5,No,No,Yes,,(EC) 2009/1223
"Alkyne Alcohols, Their Esters, Ethers And Salts",,No,No,Yes,,(EC) 2009/1223
Alloclamide  And Its Salts,5486-77-1,No,Yes,No,,
Alloclamide (Inn) And Its Salts,5486-77-1,No,No,Yes,,(EC) 2009/1223
Allyl Alcohol,107-18-6,No,Yes,No,,
Allyl Chloride (3-Chloropropene),107-05-1,No,No,Yes,,(EC) 2009/1223
Allyl Glycidyl Ether,106-92-3,No,No,Yes,,(EC) 2009/1223
Allyl Isothiocyanate,57-06-7,Yes,No,Yes,,Ban Year: 2027 | (EC) 2009/1223
Alocasia Cucullata  Schott,,No,Yes,No,,
Alocasia Macrorrhizaschott  K. Koch),,No,Yes,No,,
"Alpha, Alpha-Dichlorotoluene",98-87-3,No,No,Yes,,(EC) 2009/1223
"Alpha,Alpha,Alpha-Trichlorotoluene",98-07-7,No,No,Yes,,(EC) 2009/1223
Alpha-Chlorotoluene,100-44-7,No,Yes,No,,
Alpha-Chlorotoluene (Benzyl Chloride),100-44-7,No,No,Yes,,(EC) 2009/1223
"Alpha-Piperidin-2-Ylbenzyl Acetate, Laevorotatory Threoform (Levofacetoperane (Inn)) And Its Salts",24558-01-8,No,No,Yes,,(EC) 2009/1223
"Alpha-Santonin [(3S,5Ar,9Bs)-3,3A,4,5,5A,9B-Hexahydro-3,5A,9-Trimethylnaphto[1,2-B]Furan-2,8-Dione]",481-06-1,No,No,Yes,,(EC) 2009/1223
Aminocaproic Acid (Inn) And Its Salts,60-32-2,No,No,Yes,,(EC) 2009/1223
Aminocaproic Acidand Its Salts,60-32-2,No,Yes,No,,
"Amisulbrom (Iso)3-(3-Bromo-6-Fluoro-2-Methylindol-1-Ylsulfonyl)-N,N-Dimethyl-1H-1,2,4-Triazole-1-Sulfonamide",348635-87-0,No,No,Yes,,(EU) 2019/1966
Amitriptyline  And Its Salts,50-48-6,No,Yes,No,,
Amitriptyline (Inn) And Its Salts,50-48-6,No,No,Yes,,(EC) 2009/1223
Amitrole (Iso),61-82-5,No,No,Yes,,(EC) 2009/1223
Ammi Majus And Its Galenical Preparations,90320-46-0,No,Yes,No,,
Ammi Majus L. And Its Galenical Preparations,90320-46-0,No,No,Yes,,(EC) 2009/1223
Ammonium 2-Amino-4-(Hydroxymethylphosphinyl)Butyrate,77182-82-2,No,No,Yes,,(EU) 2019/831
Ammonium Bromide,12124-97-9,No,No,Yes,,(EU) 2023/1490
Ammonium Heptadecafluorooctanesulfonate,"1763-23-1, 2795-39-3, 70225-14-8, 29081-56-9, 29457-72-5",No,No,Yes,,(EU) 2019/831
Ammonium Nonadecafluorodecanoate,"3108-42-7, 335-76-2, 3830-45-3",Yes,No,Yes,,Ban Year: 2025 | (EU) 2019/831
Ammonium Pentadecafluorooctanoate,3825-26-1,Yes,Yes,Yes,,Ban Year: 2025 | (EU) 2019/831
Ammonium Perfluorononanoate,4149-60-4,Yes,No,No,,Ban Year: 2025
Ammonium Perfluorooctane Sulfonate,"29081-56-9, 1763-23-1, 2795-39-3, 70225-14-8, 29457-72-5",Yes,No,Yes,,Ban Year: 2025 | (EU) 2019/831
Amorphophallus Rivieri Durieu,,No,Yes,No,,經精化、去毒程序而製成之食用蒟蒻除外. 
"Amyl 4-Dimethylaminobenzoate, Mixed Isomers (Padimate A (Inn))",14779-78-3,No,No,Yes,,(EC) 2009/1223
"Amyl 4-Dimethylaminobenzoate, Mixed Isomers )",14779-78-3,No,Yes,No,,
Amyl Nitrites,110-46-3,No,No,Yes,,(EC) 2009/1223
Anamirta Cocculus L.,,No,Yes,No,,
Anamirta Cocculus L. (Fruit),,No,No,Yes,,(EC) 2009/1223
"Androsta-1,4,9(11)-Triene-3,17-Dione",15375-21-0,No,No,Yes,,(EU) 2019/831
Anemone Hupehensis Lemoine,,No,Yes,No,,
"Aniline, Its Salts And Its Halogenated And Sulphonated Derivatives",62-53-3,No,Yes,Yes,,(EC) 2009/1223
Anthracene Oil,120-12-7,No,Yes,Yes,,(EC) 2009/1223
Anthraquinone,84-65-1,Yes,No,Yes,,Ban Year: 2027 | (EU) 2019/831
Anti-Androgens Of Steroidal Structure,,No,No,Yes,,(EC) 2009/1223
Antibiotics,,No,No,Yes,,(EC) 2009/1223
Antihistamine,,No,Yes,No,,
Antimony And Its Compound,7440-36-0,No,No,Yes,,(EC) 2009/1223
Antimony And Its Compounds,7440-36-0,No,Yes,No,,
Apocynum Cannabinum L. And Its Preparations,84603-51-0,No,Yes,No,,
Apocynum Cannabium L. And Its Preparations,84603-51-0,No,No,Yes,,(EC) 2009/1223
"Apomorphine ((R)-5,6,6A,7-Tetrahydro-6-Methyl-4H-Dibenzo[De,G]Quinoline-10,11-Diol)) And Its Salts",58-00-4,No,No,Yes,,(EC) 2009/1223
Areca Catechu L.,,No,Yes,No,,
Arecoline,63-75-2,No,No,Yes,,(EC) 2009/1223
Aristolochia Spp. And Their Preparations,"475-80-9, 313-67-7, 15918-62-4",No,No,Yes,,(EC) 2009/1223
Aristolochic Acid And Its Salts,"475-80-9, 313-67-7, 15918-62-4",No,No,Yes,,(EC) 2009/1223
Aristolochic Acid And Its Salts; Aristolochia Spp. And Their Preparations,475-80-9/313-67-7/15918-62-4,No,Yes,No,,
"Aromatic Hydrocarbons, C20-28, Polycyclic, Mixed Coal-Tar Pitch-Polyethylene Polypropylene Pyrolysis-Derived, If They Contain > 0.005 % W/W Benzo[A]Pyrene",101794-74-5,No,No,Yes,,(EC) 2009/1223
"Aromatic Hydrocarbons, C20-28, Polycyclic, Mixed Coal-Tar Pitch-Polyethylene Pyrolysis-Derived, If They Contain > 0.005 % W/W Benzo[A]Pyrene",101794-75-6,No,No,Yes,,(EC) 2009/1223
"Aromatic Hydrocarbons, C20-28, Polycyclic, Mixed Coal-Tar Pitch-Polystyrene Pyrolysis-Derived, If They Contain > 0.005 % W/W Benzo[A]Pyrene",101794-76-7,No,No,Yes,,(EC) 2009/1223
Arsenic And Its Compounds,7440-38-2,No,Yes,Yes,,"化粧品於製造過程中, 如因所需使用原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含不純物重金屬砷之殘留量, 不得超過3ppm.  | (EC) 2009/1223"
Arsenolite,,No,Yes,No,,
Asarum Blumei Duch.,,No,Yes,No,,
Asbestos,1332-21-4,No,Yes,No,,"化粧品及其滑石粉(Talc)原料, 依國際間公認之檢驗方法, 不得檢出石綿成分. "
Atropa Belladonna L. And Its Preparations,8007-93-0,No,Yes,Yes,,(EC) 2009/1223
"Atropine, Its Salts And Derivatives",51-55-8,No,No,Yes,,(EC) 2009/1223
Avermectin B1A,"71751-41-2, 65195-55-3",No,No,Yes,,(EU) 2019/831
Azacyclonol  And Its Salts,115-46-8,No,Yes,No,,
Azacyclonol (Inn) And Its Salts,115-46-8,No,No,Yes,,(EC) 2009/1223
Azafenidin (Iso),68049-83-2,No,No,Yes,,(EC) 2009/1223
Azamethiphos (Iso),35575-96-3,No,No,Yes,,(EU) 2022/1531
Aziridine,151-56-4,No,Yes,Yes,,(EC) 2009/1223
"Azo]-7-Hydroxy-2-Naphthyl)Trimethylammonium And Its Salts,",71134-97-9,No,Yes,No,,
Azobenzene,103-33-3,No,No,Yes,,(EC) 2009/1223
Barbiturates,,No,Yes,Yes,,(EC) 2009/1223
Barium Diboron Tetraoxide,13701-59-2,No,No,Yes,,(EU) 2023/1490
Barium Salts,,No,Yes,No,,硫酸鋇及色素之不溶性鋇鹽(salts)、麗基(lakes)和顏料(pigments)除外. 
"Barium Salts, With The Exception Of Barium Sulphide Under The Conditions Laid Down In Annex Iii And Of Barium Sulfate, Lakes, Salts And Pigments Prepared From The Colouring Agents When Listed In Annex Iv",,No,No,Yes,,(EC) 2009/1223
Basic Blue 3,33203-82-6,Yes,No,No,,Ban Year: 2027
Basic Blue 7,2390-60-5,Yes,No,No,,Ban Year: 2027
Basic Blue 9,61-73-4,Yes,No,No,,Ban Year: 2027
Basic Green 1,0633-03-04,Yes,No,No,,Ban Year: 2027
Basic Nickel Carbonate,"3333-67-3, 16337-84-1, 65405-96-1, 12607-70-4",No,No,Yes,,(EC) 2009/1223
Basic Violet 4,2390-59-2,Yes,No,No,,Ban Year: 2027
Bemegride  And Its Salts,64-65-3,No,Yes,No,,
Bemegride (Inn) And Its Salts,64-65-3,No,No,Yes,,(EC) 2009/1223
Benactyzine,302-40-9,No,Yes,No,,
Benactyzine (Inn),302-40-9,No,No,Yes,,(EC) 2009/1223
Bendroflumethiazide  And Its Derivatives,73-48-3,No,Yes,No,,
Bendroflumethiazide (Inn) And Its Derivatives,73-48-3,No,No,Yes,,(EC) 2009/1223
Benfluralin (Iso),1861-40-1,No,No,Yes,,(EU) 2025/877
Benfuracarb (Iso),82560-54-1,No,No,Yes,,(EU) 2019/831
Benomyl (Iso),17804-35-2,No,No,Yes,,(EC) 2009/1223
Bentazone (Iso),25057-89-0,No,No,Yes,,(EU) 2023/1490
Benthiavalicarb-Isopropyl (Iso),177406-68-7,No,No,Yes,,(EU) 2026/78
Benz[A]Anthracene,56-55-3,No,Yes,Yes,,(EC) 2009/1223
Benz[E]Acephenanthrylene,205-99-2,No,Yes,Yes,,(EC) 2009/1223
Benzatropine  And Its Salts,86-13-5,No,Yes,No,,
Benzatropine (Inn) And Its Salts,86-13-5,No,No,Yes,,(EC) 2009/1223
Benzazepines And Benzodiazepines,12794-10-4,No,No,Yes,,(EC) 2009/1223
"Benzenaminium, 3-[[(4-[[Diamino(Phenylazo)Phenyl]Azo]-1-Naphthalenyl]Azo]-N,N,N-Trimethyl- And Its Salts, When Used As A Substance In Hair Dye Products",83803-98-9,No,No,Yes,,(EC) 2009/1223
"Benzenaminium, 3-[[(4-[[Diamino(Phenylazo)Phenyl]Azo]-2-Methylphenyl]Azo]-N,N,N-Trimethyl- And Its Salts, When Used As A Substance In Hair Dye Products",83803-99-0,No,No,Yes,,(EC) 2009/1223
"Benzenaminium, 3-[[Phenyl]Azo]-1-Naphthalenyl]Azo]-N,N,N-Trimethyl- And Its Salts",83803-98-9,No,Yes,No,,
"Benzenaminium, 3-[[Phenyl]Azo]-2-Methylphenyl]Azo]-N,N,N-Trimethyl- And Its Salts",83803-99-0,No,Yes,No,,
Benzene,"71-43-2, 96-09-3",No,Yes,Yes,,(EC) 2009/1223
"Benzenemethanaminium, N-Ethyl-N-(4-((4-(Ethyl((3-Sulfophenyl)Methyl)Amino)Phenyl)(4-Hydroxy-2-Sulfophenyl)Methylene)-2,5-Cyclohexadien-1-Ylidene)-3-Sulfo-, Hydroxide, Inner Salt, Disodium Salt (Fast Green Fcf",2353-45-9,No,No,Yes,,(EC) 2013/344
"Benzenesulfonic Acid, 5 -[-, And Its Salts",6373-74-6/15347-52-1,No,Yes,No,,
"Benzenesulfonic Acid, 5-[(2,4-Dinitrophenyl]Amino]-2-(Phenylamino)-, And Its Salts, When Used As A Substance In Hair Dye Products","6373-74-6, 15347-52-1",No,No,Yes,,(EC) 2009/1223
Benzidine,92-87-5,No,No,Yes,,(EC) 2009/1223
Benzidine Acetate,36341-27-2,No,No,Yes,,(EC) 2009/1223
Benzidine Based Azo Dyes,,No,No,Yes,,(EC) 2009/1223
Benzidine Dihydrochloride,531-85-1,No,No,Yes,,(EC) 2009/1223
Benzidine Sulphate,21136-70-9,No,No,Yes,,(EC) 2009/1223
Benzidine/Benzidine Acetate/Benzidine Sulfate/Benzidine Dihydrochloride/Benzidine Dihydrofluoride/Benzidine Perchlorate/Benzidine Perchlorate/Benzidine Diperchlorate,92-87-5/36341-27-2/531-86-2/531-85-1/41766-73-8/29806-76-6/38668-12-1/41195-21-5,No,Yes,No,,
Benzilonium Bromide,1050-48-2,No,Yes,No,,
Benzilonium Bromide (Inn),1050-48-2,No,No,Yes,,(EC) 2009/1223
Benzimidazol-2(3H)-One,615-16-7,No,No,Yes,,(EC) 2009/1223
"Benzo[A]Phenoxazin -7-Ium, 9--, And Its Salts",7057-57-0/966-62-1,No,Yes,No,,
"Benzo[A]Phenoxazin-7-Ium, 9-(Dimethylamino)-, And Its Salts, When Used As A Substance In Hair Dye Products","7057-57-0, 966-62-1",No,No,Yes,,(EC) 2009/1223
Benzo[Def]Chrysene,50-32-8,No,No,Yes,,(EC) 2009/1223
Benzo[Def]Chrysene;,50-32-8,No,Yes,No,,
Benzo[E]Pyrene,192-97-2,No,No,Yes,,(EC) 2009/1223
Benzo[J]Fluoranthene,205-82-3,No,Yes,Yes,,(EC) 2009/1223
Benzo[K]Fluoranthene,207-08-9,No,Yes,Yes,,(EC) 2009/1223
Benzo[Rst]Pentaphene,189-55-9,No,No,Yes,,(EU) 2021/850
Benzoates Of 4-Hydroxy-3-Methoxycinnamyl Alcohol (Coniferyl Alcohol) Except For Normal Content In Natural Essences Used,,No,No,Yes,,(EC) 2009/1223
Benzophenone,119-61-9,No,No,Yes,,(EU) 2023/1490
"Benzothiazolium, 2-[[4-[Ethyl(2-Hydroxyethyl)Amino]Phenyl]Azo]-6-Methoxy-3-Methyl- And Its Salts, When Used As A Substance In Hair Dye Products",12270-13-2,No,No,Yes,,(EC) 2009/1223
"Benzothiazolium, 2-[[4-[Ethylamino]Phenyl]Azo]-6-Methoxy-3-Methyl- And Its Salts",12270-13-2,No,Yes,No,,
"Benzyl 2,4-Dibromobutanoate",23085-60-1,No,No,Yes,,(EC) 2009/1223
Benzyl 4-Hydroxybenzoate (Inci: Benzylparaben),94-18-8,No,No,Yes,,(EU) 2014/358
Benzyl Butyl Phthalate,85-68-7,No,Yes,No,,"化粧品於製造過程中, 如因所需使用原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含鄰苯二甲酸酯類成分之殘留量, 不得超過100ppm. "
Benzyl Butyl Phthalate (Bbp),85-68-7,No,No,Yes,,(EC) 2009/1223
"Benzyl Cyanide, When Used As A Fragrance Ingredient",140-29-4,No,No,Yes,,(EC) 2009/1223
"Benzyl(Diethylamino)Diphenylphosphonium 4-[1,1,1,3,3,3-Hexafluoro-2-(4-Hydroxyphenyl)Propan-2-Yl]Phenolate",577705-90-9,No,No,Yes,,(EU) 2025/877
"Benzyltriphenylphosphonium, Salt With 4,4'-[2,2,2-Trifluoro-1-(Trifluoromethyl)Ethylidene]Bis[Phenol] (1:1)",75768-65-9,No,No,Yes,,(EU) 2025/877
Beryllium And Its Compounds,7440-41-7,No,Yes,Yes,,(EC) 2009/1223
Betoxycaine  And Its Salts,3818-62-0,No,Yes,No,,
Betoxycaine (Inn) And Its Salts,3818-62-0,No,No,Yes,,(EC) 2009/1223
Bietamiverine,479-81-2,No,Yes,No,,
Bietamiverine (Inn),479-81-2,No,No,Yes,,(EC) 2009/1223
Bifenthrin (Iso),82657-04-3,No,No,Yes,,(EU) 2019/831
Binapacryl,485-31-4,No,No,Yes,,(EC) 2009/1223
Biphenyl-2-Ylamine,90-41-5,No,No,Yes,,(EC) 2009/1223
"Biphenyl-3,3',4,4'-Tetrayltetraamine",91-95-2,No,No,Yes,,(EU) 2019/831
Biphenyl-4-Ylamine  And Its Salts,92-67-1,No,Yes,No,,
Biphenyl-4-Ylamine (4-Aminobiphenyl) And Its Salts,92-67-1,No,No,Yes,,(EC) 2009/1223
Bis (Chloromethyl) Ether,542-88-1,No,No,Yes,,(EC) 2009/1223
Bis Ether,111-96-6,No,Yes,No,,
Bis Phthalate,"117-81-7, 117-82-8",No,Yes,No,,"化粧品於製造過程中, 如因所需使用原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含鄰苯二甲酸酯類成分之殘留量, 不得超過100ppm. "
Bis(2-(2-Methoxyethoxy)Ethyl)Ether,143-24-8,No,No,Yes,,(EU) 2021/1902
Bis(2-Chloroethyl) Ether,111-44-4,No,No,Yes,,(EC) 2009/1223
Bis(2-Ethylhexyl) Phthalate,117-81-7,No,No,Yes,,(EC) 2009/1223
Bis(2-Hydroxyanilinium) Sulfate,"95-55-6, 67845-79-8, 51-19-4",No,No,Yes,,(EC) 2013/344
Bis(2-Methoxyethyl) Ether (Dimethoxydiglycol),111-96-6,No,No,Yes,,(EC) 2009/1223
Bis(2-Methoxyethyl) Phthalate,117-82-8,No,No,Yes,,(EC) 2009/1223
"Bis(Cyclopentadienyl)-Bis(2,6-Difluoro-3-(Pyrrol-1-Yl)-Phenyl)Titanium",125051-32-3,No,No,Yes,,(EC) 2009/1223
"Bis(D-Gluconato-O1,O2)Nickel","16083-14-0, 3349-08-4, 39819-65-3, 18721-51-2, 18283-82-4, 22605-92-1, 4454-16-4, 7580-31-6, 93983-68-7, 29317-63-3, 27637-46-3, 84852-37-9, 93920-10-6, 85508-43-6, 85508-44-7, 51818-56-5",No,No,Yes,,(EU) 2019/831
Bis(Hydroxylammonium) Sulfate,"5470-11-1, 10039-54-0",No,No,Yes,,(EU) 2019/831
"Bis(Α,Α-Dimethylbenzyl) Peroxide",,No,No,Yes,,(EU) 2021/1902
Bis- Ether,108-60-1,No,Yes,No,,
Bishydroxyethyl Biscetyl Malonamide,149591-38-8,No,No,Yes,,(EC) 2009/1223
"Bisphenol A (4,4'-Isopropylidenediphenol)",80-05-7,No,No,Yes,,(EC) 2009/1223
Bisphenol Af,1478-61-1,No,No,Yes,,(EU) 2025/877
