Gold_Ingredient_Name,CAS_Number,Banned_in_California,Banned_in_Taiwan,Banned_in_EU,Aliases,Notes
"(6-(4-Hydroxy-3-(2-Methoxyphenylazo)-2-Sulfonato-7-Naphthylamino)-1,3,5-Triazine-2,4-Diyl)Bis[(Amino-1-Methylethyl)Ammonium] Formate",108225-03-2,No,No,Yes,,(EC) 2009/1223
(6R-Trans)-1-((7-Ammonio-2-Carboxylato-8-Oxo-5-Thia-1-Azabicyclo-[4.2.0]Oct-2-En-3-Yl)Methyl)Pyridinium Iodide,100988-63-4,No,No,Yes,,(EU) 2019/831
"(8-[(4-Amino-2-Nitrophenyl)Azo]-7-Hydroxy-2-Naphthyl)Trimethylammonium And Its Salts, (Except Basic Red 118 As Impurity In Basic Brown 17), When Used As A Substance In Hair Dye Products",71134-97-9,No,No,Yes,,(EC) 2009/1223
(Acid Green 1,19381-50-1,No,No,Yes,,(EC) 2013/344
(Aeea),111-41-1,No,No,Yes,,(EU) 2019/831
(Benzo[A]Pyrene),50-32-8,No,No,Yes,,(EC) 2009/1223
(Dbtc),683-18-1,No,No,Yes,,(EU) 2019/831
(Diethylhexyl Phthalate),117-81-7,No,No,Yes,,(EC) 2009/1223
"(E)-1-(2-Chloro-1,3-Thiazol-5-Ylmethyl)-3-Methyl-2-Nitroguanidine",210880-92-5,No,No,Yes,,(EU) 2025/877
"(E)-2'-[2-(4-Cyanophenyl)- 1-(A,A,A -Trifluoro-M-Tolyl) Ethylidene]- [4-(Trifluoromethoxy)Phenyl]Carbanilohydrazide","139968-49-3, 852403-68-0",No,No,Yes,,(EU) 2021/850
"(E)-2-(Methoxyimino)-N-Methyl-2-[A-(2,5-Xylyloxy)-O-Tolyl]Acetamide",149961-52-4,No,No,Yes,,(EU) 2019/831
(E)-3-[1-[4-[2-(Dimethylamino)Ethoxy]Phenyl]-2-Phenylbut-1-Enyl]Phenol,82413-20-5,No,No,Yes,,(EU) 2019/831
(E)-Crotonaldehyde,"4170-30-3, 123-73-9",No,No,Yes,,(EC) 2009/1223
(E)-N1-[(6-Chloro-3-Pyridyl)Methyl]-N2-Cyano-N1-Methylacetamidine,"135410-20-7, 160430-64-8",No,No,Yes,,(EU) 2023/1490
"(E,Z)-4-(3-(4-Chlorophenyl)-3-(3,4-Dimethoxyphenyl)Acryloyl)Morpholine",110488-70-5,No,No,Yes,,(EU) 2022/1531
(Epoxyethyl)Benzene (Styrene Oxide),96-09-3,No,No,Yes,,(EC) 2009/1223
"(Ez)-2'-[2-(4-Cyanophenyl)-1-(A,A,A -Trifluoro-M- Tolyl)Ethylidene]- [4-(Trifluoromethoxy)Phenyl] Carbanilohydrazide [E-Isomer ≥ 90 %, Z-Isomer ≤ 10 % Relative Content]","139968-49-3, 852403-68-0",No,No,Yes,,(EU) 2021/850
(Isodecanoato-O)(Isononanoato-O)Nickel,"16083-14-0, 3349-08-4, 39819-65-3, 18721-51-2, 18283-82-4, 22605-92-1, 4454-16-4, 7580-31-6, 93983-68-7, 29317-63-3, 27637-46-3, 84852-37-9, 93920-10-6, 85508-43-6, 85508-44-7, 51818-56-5",No,No,Yes,,(EU) 2019/831
(Methyl-Onn-Azoxy)Methyl Acetate,592-62-1,No,No,Yes,,(EC) 2009/1223
"(Methylenebis(4,1-Phenylenazo(1-(3-(Dimethylamino)Propyl)-1,2-Dihydro-6-Hydroxy-4-Methyl-2-Oxopyridine-5,3-Diyl)))-1,1'-Dipyridinium Dichloride Dihydrochloride",,No,No,Yes,,(EC) 2009/1223
