retailer,product_name,ingredient_name,cleaned_ingredient_name,gold_ingredient_name,matched_cas_number,Banned_CA,Banned_TW,Banned_EU
Sephora,Biodance Bio-Collagen Real Deep Mask,Allantoin,allantoin,Allantoin,97-59-6,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Polyglyceryl-10 Laurate,polyglyceryl-10 laurate,Polyglyceryl-10 Laurate,34406-66-1,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Ethylhexylglycerin,ethylhexylglycerin,Ethylhexylglycerin,70445-33-9,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Galactomyces Ferment Filtrate,galactomyces ferment filtrate,Galactomyces Ferment Filtrate,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Adenosine,adenosine,Adenosine,58-61-7,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Disodium EDTA,disodium edta,Disodium Edta,139-33-3,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Pyrus Communis (Pear) Fruit Extract,pyrus communis fruit extract,Pyrus Communis Fruit Extract,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Rosa Damascena Flower Water,rosa damascena flower water,Rosa Damascena Absolute,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Collagen Extract,collagen extract,Collagen Extract,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Iris Florentina Root Extract,iris florentina root extract,Iris Florentina Root Extract,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Cucumis Melo (Melon) Fruit Extract,cucumis melo fruit extract,Cucumis Melo Fruit Extract,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Hedera Helix (Ivy) Leaf/Stem Extract,hedera helix leaf,Hedera Helix Leaf,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Butylene Glycol,butylene glycol,Butylene Glycol,107-88-0,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Dipotassium Glycyrrhizate,dipotassium glycyrrhizate,Dipotassium Glycyrrhizate,68797-35-3,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Hydrolyzed Hyaluronic Acid,hydrolyzed hyaluronic acid,Hyaluronic Acid,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Lactobacillus Ferment,lactobacillus ferment,Lactobacillus Ferment,1686112-36-6,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Bifida Ferment Filtrate,bifida ferment filtrate,Bifida Ferment Filtrate,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Lactobacillus Ferment Lysate,lactobacillus ferment lysate,Lactobacillus Ferment Lysate,,No,No,No
Sephora,Biodance Bio-Collagen Real Deep Mask,Tocopherol,tocopherol,Tocopherol,54-28-4,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Aqua (Water),aqua,Aqua,,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Glycolic Acid,glycolic acid,Glycolic Acid,79-14-1,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Rosa damascena flower water,rosa damascena flower water,Rosa Damascena Absolute,,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Centaurea cyanus flower water,centaurea cyanus flower water,Centaurea Cyanus Flower Water,84012-18-0,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Aloe Barbadensis Leaf Water,aloe barbadensis leaf water,Aloe Barbadensis Leaf Water,,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Propanediol,propanediol,Propanediol,26264-14-2,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Glycerin,glycerin,Glycerin,56-81-5,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Triethanolamine,triethanolamine,Triethanolamine,102-71-6,No,No,No
Sephora,The Ordinary Glycolic Acid 7% Toning Solution,Aminomethyl Propanol,aminomethyl propanol,Aminomethyl Propanol,124-68-5,No,No,No
