cleaned_name,cas_number,notes,region
"4-phenylazophenylene-1,3-diamine citrate hydrochloride (chrysoidine citrate hydrochloride)",5909-04-6,(EC) 2009/1223,EU
chlorzoxazone (inn),95-25-0,(EC) 2009/1223,EU
2-chloro-6-methylpyrimidin-4-yldimethylamine (crimidine-iso),535-89-7,(EC) 2009/1223,EU
chlorprothixene (inn) and its salts,113-59-7,(EC) 2009/1223,EU
clofenamide (inn),671-95-4,(EC) 2009/1223,EU
"n,n-bis(2-chloroethyl)methylamine n-oxide and its salts",126-85-2,(EC) 2009/1223,EU
chlormethine (inn) and its salts,51-75-2,(EC) 2009/1223,EU
cyclophosphamide (inn) and its salts,50-18-0,(EC) 2009/1223,EU
mannomustine (inn) and its salts,576-68-1,(EC) 2009/1223,EU
butanilicaine (inn) and its salts,3785-21-5,(EC) 2009/1223,EU
chlormezanone (inn),80-77-3,(EC) 2009/1223,EU
triparanol (inn),78-41-1,(EC) 2009/1223,EU
"2-[2-(4-chlorophenyl)-2-phenylacetyl]indan 1,3-dione (chlorophacinone - iso)",3691-35-8,(EC) 2009/1223,EU
chlorphenoxamine (inn),77-38-3,(EC) 2009/1223,EU
phenaglycodol (inn),79-93-6,(EC) 2009/1223,EU
chloroethane,75-00-3,(EC) 2009/1223,EU
chromium,7440-47-3,(EC) 2009/1223,EU
chromic acid and its salts,7440-47-3,(EC) 2009/1223,EU
"claviceps purpurea tul., its alkaloids and galenical preparations",84775-56-4,(EC) 2009/1223,EU
"conium maculatum l. (fruit, powder, galenical preparations)",85116-75-2,(EC) 2009/1223,EU
glycyclamide (inn),664-95-9,(EC) 2009/1223,EU
cobalt benzenesulphonate,23384-69-2,(EC) 2009/1223,EU
"colchicine, its salts and derivatives",64-86-8,(EC) 2009/1223,EU
colchicoside and its derivatives,477-29-2,(EC) 2009/1223,EU
colchicum autumnale l. and its galenical preparations,84696-03-7,(EC) 2009/1223,EU
convallatoxin,508-75-8,(EC) 2009/1223,EU
anamirta cocculus l. (fruit),,(EC) 2009/1223,EU
croton tiglium l. (oil),8001-28-3,(EC) 2009/1223,EU
1-butyl-3-(n-crotonoylsulphanilyl)urea,52964-42-8,(EC) 2009/1223,EU
curare and curarine,8063-06-7,(EC) 2009/1223,EU
