cleaned_name,cas_number,notes,region
polychlorinated biphenyls,1336-36-3,,Taiwan
propargyl alcohol,107-19-7,,Taiwan
"2,2'-dihydroxy-3,3',5,5',6,6'-hexachlorodiphenylmethane )",70-30-4,,Taiwan
2-methylaziridine,75-55-8,,Taiwan
benzene,96-09-3,,Taiwan
tetrachloroethylene,127-18-4,,Taiwan
thiosemicarbazide,79-19-6,,Taiwan
m-tolylidene diisocyanate,26471-62-5,,Taiwan
4-methyl-m-phenylene diisocyanate,584-84-9,,Taiwan
trichloroethylene,79-01-6,,Taiwan
",,-trichlorotoluene",98-07-7,,Taiwan
"2,4,5-trichlorophenol",95-95-4,,Taiwan
"2,4,6-trichlorophenol",88-06-2,,Taiwan
tretinoin,302-79-4,,Taiwan
"1,2,3-trichloropropane",96-18-4,,Taiwan
trinickel disulfide,12035-72-2,,Taiwan
trisphosphate,126-72-7,,Taiwan
bromoethylene,593-60-2,,Taiwan
acetonitrile,75-05-8,,Taiwan
anthracene oil,120-12-7,,Taiwan
benzyl butyl phthalate,85-68-7,"化粧品於製造過程中, 如因所需使用原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含鄰苯二甲酸酯類成分之殘留量, 不得超過100ppm. ",Taiwan
bis- ether,108-60-1,,Taiwan
bis phthalate,117-81-7,"化粧品於製造過程中, 如因所需使用原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含鄰苯二甲酸酯類成分之殘留量, 不得超過100ppm. ",Taiwan
bis phthalate,117-82-8,"化粧品於製造過程中, 如因所需使用原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含鄰苯二甲酸酯類成分之殘留量, 不得超過100ppm. ",Taiwan
4-amino-2-nitrophenol,119-34-6,,Taiwan
bromoform,75-25-2,,Taiwan
carbon disulfide,75-15-0,,Taiwan
carbon tetrachloride,56-23-5,,Taiwan
chlorobenzene,108-90-7,,Taiwan
chloroethane,75-00-3,,Taiwan
chloromethane,74-87-3,,Taiwan
crotonaldehyde,4170-30-3,,Taiwan
daminozide,1596-84-5,,Taiwan
dibenzofuran,132-64-9,,Taiwan
dibromomethane,74-95-3,,Taiwan
4-benzyloxyphenol and 4-ethoxyphenol,103-16-2/622-62-8,,Taiwan
antimony and its compounds,7440-36-0,,Taiwan
"1,2-dichloropropane",78-87-5,,Taiwan
"1,3-dichlorobenzene",541-73-1,,Taiwan
"1,2-benzenedicarboxylic acid, dipentylester, branched and linear; n-pentyl-isopentylphthalate; di-n-pentyl phthalate; diisopentylphthalate",605-50-5/84777-06-0/131-18-0,"化粧品於製造過程中, 如因所需使用原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含鄰苯二甲酸酯類成分之殘留量, 不得超過100ppm. ",Taiwan
"3,3-dimethoxybenzidine  and its salts",119-90-4,,Taiwan
"4,4-bi-o-toluidine",119-93-7,,Taiwan
diphenylamine,122-39-4,,Taiwan
fenchlorphos,299-84-3,,Taiwan
"hexachloro-1,3-butadiene",87-68-3,,Taiwan
hexachlorobenzene,118-74-1,,Taiwan
hexachloroethane,67-72-1,,Taiwan
arsenic and its compounds,7440-38-2,"化粧品於製造過程中, 如因所需使用原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含不純物重金屬砷之殘留量, 不得超過3ppm. ",Taiwan
hexachloronaphthalene,1335-87-1,,Taiwan
"2,4-hexadienal",142-83-6,,Taiwan
"hydrazine, its derivatives and their salts",302-01-2,,Taiwan
"4,4-methylenedianiline",101-77-9,,Taiwan
iodomethane,74-88-4,,Taiwan
naphthalene,91-20-3,,Taiwan
nitrobenzene,98-95-3,,Taiwan
o-aminotoluene/m-aminotoluene/p-aminotoluene,95-53-4/108-44-1/106-49-0,,Taiwan
octachloronaphthalene,2234-13-1,,Taiwan
o-dichlorobenzene,95-50-1,,Taiwan
cadmium and its compounds,7440-43-9,"化粧品於製造過程中, 如因所需使用原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含不純物重金屬鎘之殘留量, 不得超過5ppm. ",Taiwan
pentachloronitrobenzene,82-68-8,,Taiwan
propiolactone,57-57-8,,Taiwan
pyridine,110-86-1,,Taiwan
thiourea,62-56-6,,Taiwan
toxaphene,8001-35-2,,Taiwan
tributyltin oxide oxide),56-35-9,,Taiwan
"1,2,4-trichlorobenzene",120-82-1,,Taiwan
fentin hydroxide,76-87-9,,Taiwan
areca catechu l.,,,Taiwan
asarum blumei duch.,,,Taiwan
cantharidine,56-25-7,,Taiwan
brucea javanica  merr.,,,Taiwan
bufo melanostictus,,,Taiwan
clematis chinensis osbeck,,,Taiwan
convallaria majalis l.,,,Taiwan
coriaria sinica maxim.,,,Taiwan
derris trifoliata lour.,,,Taiwan
"ephedratourn. ex l, .",,,Taiwan
euphorbia lathyris l.,,,Taiwan
illicium lanceolatum a.c. smith,,,Taiwan
lycoris radiata herb.,,,Taiwan
chloroacetamide,79-07-2,,Taiwan
nerium indicum mill.,,,Taiwan
phytolacca acinosa roxb.,,,Taiwan
pinellia ternata  breit.,,,Taiwan
rhododendron molle g. don,,,Taiwan
sinapis alba l.,,,Taiwan
"lead acetate, it trihydrate and derivatives",6080-56-4,,Taiwan
acid orange 24,1320-07-6,,Taiwan
acid red 73,5413-75-2,,Taiwan
4-aminoazobenzene,60-09-3,,Taiwan
4-o-tolylazo-o-toluidine,97-56-3,,Taiwan
chloroform,67-66-3,,Taiwan
5-amino-4-fluoro-2-methylphenol sulfate,163183-01-5,,Taiwan
2-aminomethyl-p-aminophenol and its hcl salt,79352-72-0,,Taiwan
o-anisidine,90-04-0,,Taiwan
"2,6-bis-3,5-pyridinediamine and its hcl salt",117907-42-3,,Taiwan
bis ether,111-96-6,,Taiwan
4-chloro-2-aminophenol,95-85-2,,Taiwan
4-chloroaniline,106-47-8,,Taiwan
chromated copper arsenate,37337-13-6,,Taiwan
cobalt dichloride,7646-79-9,,Taiwan
n-cyclopentyl-m-aminophenol,104903-49-3,,Taiwan
chromium; chromic acid and its salts,7440-47-3,化粧品色素成分使用限制表中另有規定者除外. ,Taiwan
"3,4-diaminobenzoic acid",619-05-6,,Taiwan
"2,4-diaminodiphenylamine",136-17-4,,Taiwan
"4,5-diamino-1-methyl)-1h-pyrazole sulfate",163183-00-4,,Taiwan
"2,4-diamino-5-methylphenetol and its hcl salt",113715-25-6,,Taiwan
"4,5-diamino-1-methylpyrazole and its hcl salt",20055-01-0/21616-59-1,,Taiwan
"n,n-diethyl-m-aminophenol",91-68-9/68239-84-9,,Taiwan
"n,n-dimethyl-2,6-pyridinediamine and its hcl salt",,,Taiwan
4-hydroxyindole,2380-94-1,,Taiwan
2-methoxymethyl-p-aminophenol and its hcl salt,29785-47-5/135043-65-1,,Taiwan
"6-methoxy-2,3-pyridinediamine and its hcl salt",94166-62-8,,Taiwan
dibutyl phthalate,84-74-2,"化粧品於製造過程中, 如因所需使用原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含鄰苯二甲酸酯類成分之總殘留量, 不得超過100ppm. ",Taiwan
"4-methoxytoluene-2,5-diamine and its hcl salt",56496-88-9,,Taiwan
6-methoxy-m-toluidine,120-71-8,,Taiwan
n-methylacetamide,79-16-3,,Taiwan
"4,4'-methylenedi-o-toluidine",838-88-0,,Taiwan
n--p-phenylenediamine and its hcl salt,72584-59-9/66566-48-1,,Taiwan
"1,7-naphthalenediol",575-38-2,,Taiwan
"2,3-naphthalenediol",92-44-4,,Taiwan
5-nitro-o-toluidine/5-nitro-o-toluidine hydrochloride,99-55-8/51085-52-0,,Taiwan
diphenylether; octabromo derivate,32536-52-0,,Taiwan
"4,4-oxydianiline  and its salts",101-80-4,,Taiwan
dichlorophen,97-23-4,,Taiwan
pentabromodiphenyl ether,32534-81-9,,Taiwan
solvent red 1,1229-55-6,,Taiwan
"4,4-thiodianiline and its salts",139-65-1,,Taiwan
"2,4,5-trimethylaniline/2,4,5-trimethylaniline hydrochloride",137-17-7/21436-97-5,,Taiwan
di-n-octyl phthalate,117-84-0,"化粧品於製造過程中, 如因所需使用原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含鄰苯二甲酸酯類成分之殘留量, 不得超過100ppm. ",Taiwan
6-amino-o-cresol and its salts,17672-22-9,,Taiwan
2-amino-3-nitrophenol and its salts,603-85-0,,Taiwan
"[4-[[4-anilino-1-naphthyl][4-phenyl]methylene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride",2580-56-5,,Taiwan
4-[methyl]-o-toluidine and its hydrochloride salt,632-99-5/3248-93-9,,Taiwan
2-chloro-5-nitro-n-hydroxyethyl- p-phenylenediamine and its salts,50610-28-1,,Taiwan
"2,6-dimethyl-1,3-dioxan-4-yl acetate",828-00-2,,Taiwan
"4,4'-diaminodiphenylamine and its salts",537-65-5,,Taiwan
"2,4-diamino-5-methylphenoxyethanol and its salts",141614-05-3/113715-27-8,,Taiwan
"n,n-diethyl-p-phenylenediamine and its salts",6065-27-6/ 6283-63-2/93-05-0,,Taiwan
"n,n-dimethyl-p-phenylenediamine and its salts",99-98-9/6219-73-4,,Taiwan
"3-[phenyl)amino]propane1,2-diol  and its salts",104333-00-8,,Taiwan
2-[amino]ethanol  and its salts,59320-13-7,,Taiwan
"hydroxyethyl-2,6-dinitro-p-anisidine and its salts",122252-11-3,,Taiwan
hydroxyethylaminomethyl-p-aminophenol and its salts,110952-46-0/135043-63-9,,Taiwan
"6-nitro-2,5-pyridinediamine and its salts",69825-83-8,,Taiwan
diethylene glycol,111-46-6,"化粧品於製造過程中, 如因所需使用之原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含二甘醇(diethylene glycol)之殘留量, 不得超過1000ppm. ",Taiwan
bithionol,97-18-7,,Taiwan
dioxane,123-91-1,"化粧品於製造過程中, 如因所需使用之原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含1,4-二氧六圜之殘留量, 不得超過100ppm. ",Taiwan
m-phenylenediamine and its salts,108-45-2/541-69-5/541-70-8,,Taiwan
travamide,,,Taiwan
methyl alcohol,67-56-1,"化粧品於製造過程中, 如因所需使用之原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含甲醇(methyl alcohol)之殘留量, 不得超過2000ppm. ",Taiwan
rhododendrol,69617-84-1,,Taiwan
coal tars,8007-45-2,,Taiwan
estradiol,50-28-2,,Taiwan
estrone,53-16-7,,Taiwan
ethinyl estradiol,57-63-6,,Taiwan
antihistamine,,,Taiwan
safrole,94-59-7,"使用樟科等植物原料來源成分者, 其最終殘留限量如下:最終製品中所含黃樟素含量不得超過100ppm. ",Taiwan
2-ethoxyethanol and its acetate,110-80-5/111-15-9,,Taiwan
verbena essential oils,8024-12-2,Verbena absolute (Lippia citriodora Kunth.)除外. ,Taiwan
costus root oil,8023-88-9,,Taiwan
fig leaf absolute,68916-52-9,,Taiwan
alocasia cucullata  schott,,,Taiwan
amorphophallus rivieri durieu,,經精化、去毒程序而製成之食用蒟蒻除外. ,Taiwan
alocasia macrorrhizaschott  k. koch),,,Taiwan
catharanthus roseus  g. don,,,Taiwan
cerbera manghas l.,,,Taiwan
"ranunculus l.,",84929-74-8,,Taiwan
crotalaria sessiliflora l.,,,Taiwan
4-ethoxy-m-phenylenediamine and its salts,67801-06-3/ 5862-77-1/68015-98-5/6219-69-8,,Taiwan
dioscorea hispida dennst. ),,,Taiwan
gelsemium elegans benth.,,,Taiwan
fluorine compounds,,口腔製劑另有規定者除外. ,Taiwan
formaldehyde,50-00-0,"(1)化粧品中使用DMDM Hydantoin、Imidazolidinyl urea、Quaterium 15、Benzylhemiformal、5-Bromo-5-nitro-1,3-dioxane、Bronopol、Methenamine、Sodium hydroxymethylglycinate、Diazolidinyl urea 成分作為防腐劑時, 其總釋出之Free formaldehyde 量, 不得超過1000ppm. (2)未添加DMDM Hydantonin、Imidazolidinyl urea、Quaterium-15、DiaZolidinyl urea、Hexamethylenetetramine、Benzylhemiformal、5-Bromo-5-nitro-1,3-dioxane、Bronopol 及Sodium hydroxymethylglycinate 等防腐劑成分, 如於製造過程中, 因所需使用原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含游離甲醛(Free formaldehyde)之殘留量, 不得超過75ppm. ",Taiwan
hc blue no.1-3-nitrophenyl]imino)bis),2784-94-3,,Taiwan
hydrogen peroxide,7722-84-1,使用於染髮、燙髮及牙齒美白產品當氧化劑除外. ,Taiwan
p-hydroxyanisole,150-76-5,,Taiwan
lead and its compounds,7439-92-1,"化粧品於製造過程中, 如因所需使用原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含不純物重金屬鉛之殘留量, 不得超過10ppm. ",Taiwan
local anesthetics,,,Taiwan
pilocarpine and its salts,92-13-7,,Taiwan
"1-methoxy-2,4-diaminobenzene  and its salts",615-05-4,,Taiwan
"1-methoxy-2,5-diaminobenzene  and its salts",5307-02-8,,Taiwan
4-methyl-m-phenylenediamine  and its salts,95-80-7,,Taiwan
methyl methacrylate,80-62-6,,Taiwan
nitrofurantoin,67-20-9,,Taiwan
"nitrosamines e.g. dimethylnitrosoamine; nitrosodipropylamine; 2,2'-nitrosoimino)bisethanol; nitrosamine diethyl",62-75-9/621-64-7/1116-54-7/55-18-5,,Taiwan
oestrogens,,,Taiwan
o-phenylenediamine and its salts,95-54-5,,Taiwan
p-phenylenediamine,106-50-3,使用於染髮產品除外. ,Taiwan
potassium bromate,7758-01-2,,Taiwan
halogeno-salicylanilide,,,Taiwan
pregnanediol,80-92-2,,Taiwan
pregnenolone acetate,1778-02-5,,Taiwan
pyrocatechol,120-80-9,,Taiwan
pyrogallol,87-66-1,,Taiwan
selenium and its compounds,7782-49-2,使用於髮類產品之Selenium disulfide除外. ,Taiwan
strontium compounds,7440-24-6,口腔製劑另有規定者除外. ,Taiwan
sulphonamides  and their salts,,,Taiwan
2-methyl-m-phenylenediamine,823-40-5,,Taiwan
trichloroacetic acid,76-03-9,,Taiwan
3-imidazol-4-ylacrylic acid  and its ethyl ester,104-98-3/27538-35-8,,Taiwan
boric acid,10043-35-3/11113-50-1,,Taiwan
zirconium and its compounds,7440-67-7,"(用作色素之zirconium lakes, salts, pigments及化粧品成分使用限制表中另有規定者除外. )",Taiwan
aconitum napellus l.,84603-50-9,,Taiwan
adonis vernalis l. and its preparations,84649-73-0,,Taiwan
ammi majus and its galenical preparations,90320-46-0,,Taiwan
anamirta cocculus l.,,,Taiwan
apocynum cannabinum l. and its preparations,84603-51-0,,Taiwan
aristolochic acid and its salts; aristolochia spp. and their preparations,475-80-9/313-67-7/15918-62-4,,Taiwan
atropa belladonna l. and its preparations,8007-93-0,,Taiwan
"cantharides, cantharis vesicatoria",92457-17-5,"Cantharides tincture 用於髮類產品之規定, 應參考化粧品成分使用限制表. ",Taiwan
chenopodium ambrosioides l.,8006-99-3,,Taiwan
sodium perborate,7632-04-4,,Taiwan
"claviceps purpurea tul., its alkaloids and galenical preparations",84775-56-4,,Taiwan
colchicum autumnale l. and its galenical preparations,84696-03-7,,Taiwan
conium maculatum l.,85116-75-2,,Taiwan
croton tiglium l.,8001-28-3,,Taiwan
datura stramonium l. and its galenical preparations,84696-08-2,,Taiwan
digitaline and all heterosides of digitalis purpurea l.,752-61-4,,Taiwan
hyoscyamus niger l.,84603-65-6,,Taiwan
ipecacuanha,8012-96-2,,Taiwan
juniperus sabina l.,90046-04-1,,Taiwan
oil from the seeds of laurus nobilis l.,84603-73-6,,Taiwan
sodium borate,1330-43-4,"含微量Sodium borate用以乳化Beeswax及Bleached Beeswax者, 不在此限, 惟其含量不得超過0.76%. ",Taiwan
lobelia inflata l. and its galenical preparations,84696-23-1,,Taiwan
physostigma venenosum balf.,89958-15-6,,Taiwan
phytolacca spp. and their preparations,60820-94-2/65497-07-6,,Taiwan
pilocarpus jaborandi holmes and its galenical preparations,84696-42-4,,Taiwan
prunus laurocerasus l.,89997-54-6,,Taiwan
pyrethrum album l. and its galenical preparations,,,Taiwan
schoenocaulon officinale lind,84604-18-2,,Taiwan
solanum nigrum l. and its galenical preparations,84929-77-1,,Taiwan
strophanthus species and their galenical preparations,,,Taiwan
strychnos species and their galenical preparations,,,Taiwan
chlorofluorocarbons,,,Taiwan
"thevetia neriifolia juss., glycoside extract",90147-54-9,,Taiwan
urginea scilla steinh. and its galenical preparations,84650-62-4,,Taiwan
veratrum spp. and their preparations,90131-91-2,,Taiwan
arsenolite,,,Taiwan
daphnis genkwa flos,,,Taiwan
daturae flos,,,Taiwan
euphorbiae pallasii radix,,,Taiwan
euphorbiae kansui radix,,,Taiwan
hirudo,,,Taiwan
hyoscyami semen,,,Taiwan
