cleaned_name,cas_number,notes,region
asbestos,1332-21-4,"化粧品及其滑石粉(Talc)原料, 依國際間公認之檢驗方法, 不得檢出石綿成分. ",Taiwan
benzidine/benzidine acetate/benzidine sulfate/benzidine dihydrochloride/benzidine dihydrofluoride/benzidine perchlorate/benzidine perchlorate/benzidine diperchlorate,92-87-5/36341-27-2/531-86-2/531-85-1/41766-73-8/29806-76-6/38668-12-1/41195-21-5,,Taiwan
benzene,71-43-2,,Taiwan
beryllium and its compounds,7440-41-7,,Taiwan
"oxybis[chloromethane], bis  ether",542-88-1,,Taiwan
-bromobenzyl cyanide,5798-79-8,,Taiwan
"1,3-butadiene",106-99-0,,Taiwan
captafol,2425-06-1,,Taiwan
"n--4-cyclohexene-1,2-dicarboximide)",133-06-2,,Taiwan
hydroxy-8-quinoline and its sulfate,148-24-3/134-31-6,"使用於染髮、燙髮產品中, 用作Hydrogen peroxide 之安定劑不得超過0.03%(以base計). ",Taiwan
"chlordane, pur",57-74-9,,Taiwan
chlorine,7782-50-5,,Taiwan
-chloroacetophenone,532-27-4,,Taiwan
chlorobenzilate,510-15-6,,Taiwan
chloromethyl methyl ether,107-30-2,,Taiwan
p-chloro-o-toluidine,95-69-2,,Taiwan
cyanazine,21725-46-2,,Taiwan
sodium cyanide/potassium cyanide/silver cyanide/copper cyanide/copper potassium cyanide/cadmium cyanide/zinc cyanide/copper cyanide/copper sodium cyanide,143-33-9/151-50-8/506-64-9/544-92-3/13682-73-0/542-83-6/557-21-1/14763-77-0/14264-31-4,,Taiwan
cyhexatin,13121-70-5,,Taiwan
"1,2-dibromo-3-chloropropane",96-12-8,,Taiwan
dichloromethane,75-09-2,,Taiwan
"3,3'-dichlorobenzidine",91-94-1,,Taiwan
clofenotane ; ddt,50-29-3,,Taiwan
dieldrin,60-57-1,,Taiwan
dimethylcarbamoyl chloride,79-44-7,,Taiwan
drosera peltata sm. var. multisepala y. z. ruan,,,Taiwan
skimmia reevesiana fortune,,,Taiwan
typhonium giganteum engl.,,,Taiwan
sapium sebiferum  roxb.,,,Taiwan
"colchicin, its salts and derivatives",64-86-8,,Taiwan
"hyoscyamine, its salts and derivatives",101-31-5,,Taiwan
"hyoscine, its salts and derivatives",51-34-3,,Taiwan
deanol aceglumate,3342-61-8,,Taiwan
spironolactone,52-01-7,,Taiwan
"[4--3,5-diiodophenyl]acetic acid ) and its salts",51-24-1,,Taiwan
dimethylformamide,68-12-2,,Taiwan
methotrexate,59-05-2,,Taiwan
"cinchophen , its salts, derivatives and salts of these derivatives",132-60-5/5949-18-8,,Taiwan
thyropropic acid  and its salts,51-26-3,,Taiwan
epinephrine,51-43-4,,Taiwan
isoprenaline,7683-59-2,,Taiwan
alloclamide  and its salts,5486-77-1,,Taiwan
"nalorphine , its salts and ethers",62-67-9,,Taiwan
betoxycaine  and its salts,3818-62-0,,Taiwan
zoxazolamine,61-80-3,,Taiwan
"procainamide , its salts and derivatives",51-06-9,,Taiwan
dimethyl sulfate,77-78-1,,Taiwan
"tuaminoheptane , its isomers and salts",123-82-0,,Taiwan
octodrine  and its salts,543-82-8,,Taiwan
isocarboxazid,59-63-2,,Taiwan
bendroflumethiazide  and its derivatives,73-48-3,,Taiwan
bretylium tosilate,61-75-6,,Taiwan
carbromal,77-65-6,,Taiwan
bromisoval,496-67-3,,Taiwan
brompheniramine  and its salts,86-22-6,,Taiwan
benzilonium bromide,1050-48-2,,Taiwan
tetrylammonium bromide,71-91-0,,Taiwan
"4,6-dinitro-o-cresol )",534-52-1,,Taiwan
tetracaine  and its salts,94-24-6,,Taiwan
mofebutazone,2210-63-1,,Taiwan
tolbutamide,64-77-7,,Taiwan
carbutamide,339-43-5,,Taiwan
phenylbutazone,50-33-9,,Taiwan
phenprobamate,673-31-4,,Taiwan
chlorpropamide,94-20-2,,Taiwan
chlorzoxazone,95-25-0,,Taiwan
