ID,CASRN,casregno,UID,EXP,ChemName,DEF,UVCB,FLAG,ACTIVITY
1,50-00-0,50000,,,Formaldehyde,,,,ACTIVE
2,50-01-1,50011,,,"Guanidine, hydrochloride (1:1)",,,,ACTIVE
3,50-02-2,50022,,,"Pregna-1,4-diene-3,20-dione, 9-fluoro-11,17,21-trihydroxy-16-methyl-, (11.beta.,16.alpha.)-",,,,ACTIVE
4,50-07-7,50077,,,"Azirino[2',3':3,4]pyrrolo[1,2-a]indole-4,7-dione, 6-amino-8-[[(aminocarbonyl)oxy]methyl]-1,1a,2,8,8a,8b-hexahydro-8a-methoxy-5-methyl-, (1aS,8S,8aR,8bS)-",,,S,ACTIVE
5,50-14-6,50146,,,"Cyclohexanol, 4-methylene-3-[(2E)-2-[(1R,3aS,7aR)-octahydro-7a-methyl-1-[(1R,2E,4R)-1,4,5-trimethyl-2-hexen-1-yl]-4H-inden-4-ylidene]ethylidene]-, (1S,3Z)-",,,,ACTIVE
6,50-21-5,50215,,,"Propanoic acid, 2-hydroxy-",,,,ACTIVE
7,50-23-7,50237,,,"Pregn-4-ene-3,20-dione, 11,17,21-trihydroxy-, (11.beta.)-",,,,ACTIVE
8,50-24-8,50248,,,"Pregna-1,4-diene-3,20-dione, 11,17,21-trihydroxy-, (11.beta.)-",,,,ACTIVE
9,50-29-3,50293,,,"Benzene, 1,1'-(2,2,2-trichloroethylidene)bis[4-chloro-",,,S,ACTIVE
10,50-30-6,50306,,,"Benzoic acid, 2,6-dichloro-",,,PMN; S; 5E,ACTIVE
11,50-31-7,50317,,,"Benzoic acid, 2,3,6-trichloro-",,,PMN; S; 5E,ACTIVE
12,50-32-8,50328,,,Benzo[a]pyrene,,,,ACTIVE
13,50-33-9,50339,,,"3,5-Pyrazolidinedione, 4-butyl-1,2-diphenyl-",,,,ACTIVE
14,50-34-0,50340,,,"2-Propanaminium, N-methyl-N-(1-methylethyl)-N-[2-[(9H-xanthen-9-ylcarbonyl)oxy]ethyl]-, bromide (1:1)",,,,INACTIVE
15,50-43-1,50431,,,"Benzoic acid, 2,4,6-trichloro-",,,PMN; S; 5E,ACTIVE
16,50-45-3,50453,,,"Benzoic acid, 2,3-dichloro-",,,PMN; S; 5E,ACTIVE
17,50-54-4,50544,,,"Cinchonan-9-ol, 6'-methoxy-, (9S)-, sulfate (2:1)",,,,INACTIVE
18,50-55-5,50555,,,"Yohimban-16-carboxylic acid, 11,17-dimethoxy-18-[(3,4,5-trimethoxybenzoyl)oxy]-, methyl ester, (3.beta.,16.beta.,17.alpha.,18.beta.,20.alpha.)-",,,S,ACTIVE
19,50-69-1,50691,,,D-Ribose,,,,ACTIVE
20,50-70-4,50704,,,D-Glucitol,,,,ACTIVE
21,50-71-5,50715,,,"2,4,5,6(1H,3H)-Pyrimidinetetrone",,,,ACTIVE
22,50-73-7,50737,,,"Benzoic acid, 2,3,5-trichloro-",,,PMN; S; 5E,ACTIVE
23,50-78-2,50782,,,"Benzoic acid, 2-(acetyloxy)-",,,,ACTIVE
24,50-79-3,50793,,,"Benzoic acid, 2,5-dichloro-",,,,ACTIVE
25,50-81-7,50817,,,L-Ascorbic acid,,,,ACTIVE
26,50-82-8,50828,,,"Benzoic acid, 2,4,5-trichloro-",,,PMN; S; 5E,ACTIVE
27,50-84-0,50840,,,"Benzoic acid, 2,4-dichloro-",,,,ACTIVE
28,50-89-5,50895,,,Thymidine,,,,ACTIVE
29,50-98-6,50986,,,"Benzenemethanol, .alpha.-[(1S)-1-(methylamino)ethyl]-, hydrochloride (1:1), (.alpha.R)-",,,,ACTIVE
30,50-99-7,50997,,,D-Glucose,,,,ACTIVE
31,51-03-6,51036,,,"1,3-Benzodioxole, 5-[[2-(2-butoxyethoxy)ethoxy]methyl]-6-propyl-",,,,ACTIVE
32,51-05-8,51058,,,"Benzoic acid, 4-amino-, 2-(diethylamino)ethyl ester, hydrochloride (1:1)",,,,ACTIVE
33,51-17-2,51172,,,1H-Benzimidazole,,,,ACTIVE
34,51-20-7,51207,,,"2,4(1H,3H)-Pyrimidinedione, 5-bromo-",,,,INACTIVE
35,51-21-8,51218,,,"2,4(1H,3H)-Pyrimidinedione, 5-fluoro-",,,,ACTIVE
36,51-28-5,51285,,,"Phenol, 2,4-dinitro-",,,,ACTIVE
37,51-35-4,51354,,,"L-Proline, 4-hydroxy-, (4R)-",,,,ACTIVE
38,51-36-5,51365,,,"Benzoic acid, 3,5-dichloro-",,,PMN; S; 5E,ACTIVE
39,51-39-8,51398,,,"Benzoic acid, 3,4,5-trichloro-",,,PMN; S; 5E,ACTIVE
40,51-43-4,51434,,,"1,2-Benzenediol, 4-[(1R)-1-hydroxy-2-(methylamino)ethyl]-",,,,ACTIVE
41,51-44-5,51445,,,"Benzoic acid, 3,4-dichloro-",,,,ACTIVE
42,51-45-6,51456,,,1H-Imidazole-5-ethanamine,,,,ACTIVE
43,51-46-7,51467,,,"1,3,6,8-Tetraazatricyclo[4.4.1.13,8]dodecane",,,,INACTIVE
44,51-48-9,51489,,,"L-Tyrosine, O-(4-hydroxy-3,5-diiodophenyl)-3,5-diiodo-",,,,ACTIVE
45,51-52-5,51525,,,"4(1H)-Pyrimidinone, 2,3-dihydro-6-propyl-2-thioxo-",,,,ACTIVE
46,51-55-8,51558,,,"Benzeneacetic acid, .alpha.-(hydroxymethyl)- (3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester",,,,ACTIVE
47,51-56-9,51569,,,"Benzeneacetic acid, .alpha.-hydroxy-, (3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester, hydrobromide (1:1)",,,,INACTIVE
48,51-57-0,51570,,,"Benzeneethanamine, N,.alpha.-dimethyl-, hydrochloride (1:1), (.alpha.S)-",,,,INACTIVE
49,51-64-9,51649,,,"Benzeneethanamine, .alpha.-methyl-, (.alpha.S)-",,,,INACTIVE
50,51-65-0,51650,,,"Phenylalanine, 4-fluoro-",,,,INACTIVE
51,51-66-1,51661,,,"Acetamide, N-(4-methoxyphenyl)-",,,,ACTIVE
52,51-74-1,51741,,,"1H-Imidazole-4-ethanamine, phosphate (1:2)",,,,INACTIVE
53,51-75-2,51752,,,"Ethanamine, 2-chloro-N-(2-chloroethyl)-N-methyl-",,,,ACTIVE
54,51-77-4,51774,,,"4,8,12-Tetradecatrienoic acid, 5,9,13-trimethyl-, (2E)-3,7-dimethyl-2,6-octadien-1-yl ester, (4E,8E)-",,,,INACTIVE
55,51-78-5,51785,,,"Phenol, 4-amino-, hydrochloride (1:1)",,,,INACTIVE
56,51-79-6,51796,,,"Carbamic acid, ethyl ester",,,S,ACTIVE
57,51-80-9,51809,,,"Methanediamine, N,N,N',N'-tetramethyl-",,,,ACTIVE
58,51-82-1,51821,,,"Carbamodithioic acid, N,N-dimethyl-, (dimethylamino)methyl ester",,,,INACTIVE
59,51-83-2,51832,,,"Ethanaminium, 2-[(aminocarbonyl)oxy]-N,N,N-trimethyl-, chloride (1:1)",,,,ACTIVE
60,51-93-4,51934,,,"Ethanaminium, N,N,N-trimethyl-, iodide (1:1)",,,,INACTIVE
61,52-01-7,52017,,,"Pregn-4-ene-21-carboxylic acid, 7-(acetylthio)-17-hydroxy-3-oxo-, .gamma.-lactone, (7.alpha.,17.alpha.)-",,,,ACTIVE
62,52-39-1,52391,,,"Pregn-4-en-18-al, 11,21-dihydroxy-3,20-dioxo-, (11.beta.)-",,,,ACTIVE
63,52-51-7,52517,,,"1,3-Propanediol, 2-bromo-2-nitro-",,,,ACTIVE
64,52-52-8,52528,,,"Cyclopentanecarboxylic acid, 1-amino-",,,,ACTIVE
65,52-85-7,52857,,,"Phosphorothioic acid, O-[4-[(dimethylamino)sulfonyl]phenyl] O,O-dimethyl ester",,,,ACTIVE
66,52-88-0,52880,,,"8-Azoniabicyclo[3.2.1]octane, 3-(3-hydroxy-1-oxo-2-phenylpropoxy)-8,8-dimethyl-, (3-endo)-, nitrate (1:1)",,,,INACTIVE
67,52-89-1,52891,,,"L-Cysteine, hydrochloride (1:1)",,,,ACTIVE
68,52-90-4,52904,,,L-Cysteine,,,,ACTIVE
69,53-03-2,53032,,,"Pregna-1,4-diene-3,11,20-trione, 17,21-dihydroxy-",,,,INACTIVE
70,53-16-7,53167,,,"Estra-1,3,5(10)-trien-17-one, 3-hydroxy-",,,,ACTIVE
71,53-57-6,53576,,,"Adenosine 5'-(trihydrogen diphosphate), 2'-(dihydrogen phosphate), P'.fwdarw.5'-ester with 1,4-dihydro-1-.beta.-D-ribofuranosyl-3-pyridinecarboxamide",,,,INACTIVE
72,53-59-8,53598,,,"Adenosine 5'-(trihydrogen diphosphate), 2'-(dihydrogen phosphate), P'.fwdarw.5'-ester with 3-(aminocarbonyl)-1-.beta.-D-ribofuranosylpyridinium, inner salt",,,,ACTIVE
73,53-60-1,53601,,,"10H-Phenothiazine-10-propanamine, N,N-dimethyl-, hydrochloride (1:1)",,,,INACTIVE
74,53-70-3,53703,,,"Dibenz[a,h]anthracene",,,,ACTIVE
75,53-84-9,53849,,,"Adenosine 5'-(trihydrogen diphosphate), P'.fwdarw.5'-ester with 3-(aminocarbonyl)-1-.beta.-D-ribofuranosylpyridinium, inner salt",,,,ACTIVE
76,53-86-1,53861,,,"1H-Indole-3-acetic acid, 1-(4-chlorobenzoyl)-5-methoxy-2-methyl-",,,,ACTIVE
77,53-96-3,53963,,,"Acetamide, N-9H-fluoren-2-yl-",,,,ACTIVE
78,54-11-5,54115,,,"Pyridine, 3-[(2S)-1-methyl-2-pyrrolidinyl]-",,,,ACTIVE
79,54-12-6,54126,,,Tryptophan,,,,ACTIVE
80,54-21-7,54217,,,"Benzoic acid, 2-hydroxy-, sodium salt (1:1)",,,,ACTIVE
81,54-28-4,54284,,,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,7,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, (2R)-",,,,ACTIVE
82,54-35-3,54353,,,"4-Thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid, 3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]- (2S,5R,6R)-, compd. with 2-(diethylamino)ethyl 4-aminobenzoate (1:1)",,,,ACTIVE
83,54-42-2,54422,,,"Uridine, 2'-deoxy-5-iodo-",,,,ACTIVE
84,54-47-7,54477,,,"4-Pyridinecarboxaldehyde, 3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]-",,,,ACTIVE
85,54-62-6,54626,,,"L-Glutamic acid, N-[4-[[(2,4-diamino-6-pteridinyl)methyl]amino]benzoyl]-",,,,ACTIVE
86,54-64-8,54648,,,"Mercurate(1-), ethyl[2-(mercapto-.kappa.S)benzoato(2-)-.kappa.O]-, sodium (1:1)",,,,ACTIVE
87,54-71-7,54717,,,"2(3H)-Furanone, 3-ethyldihydro-4-[(1-methyl-1H-imidazol-5-yl)methyl]-, hydrochloride (1:1), (3S,4R)-",,,,ACTIVE
88,54-85-3,54853,,,"4-Pyridinecarboxylic acid, hydrazide",,,,ACTIVE
89,54-86-4,54864,,,"3-Pyridinecarboxylic acid, sodium salt (1:1)",,,,ACTIVE
90,54-95-5,54955,,,"5H-Tetrazolo[1,5-a]azepine, 6,7,8,9-tetrahydro-",,,,ACTIVE
91,55-03-8,55038,,,"L-Tyrosine, O-(4-hydroxy-3,5-diiodophenyl)-3,5-diiodo-, sodium salt (1:1)",,,,INACTIVE
92,55-10-7,55107,,,"Benzeneacetic acid, .alpha.,4-dihydroxy-3-methoxy-",,,,ACTIVE
93,55-18-5,55185,,,"Ethanamine, N-ethyl-N-nitroso-",,,,ACTIVE
94,55-21-0,55210,,,Benzamide,,,,ACTIVE
95,55-22-1,55221,,,4-Pyridinecarboxylic acid,,,,ACTIVE
96,55-48-1,55481,,,"Benzeneacetic acid, .alpha.-(hydroxymethyl)- (3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester, sulfate (2:1)",,,,INACTIVE
97,55-55-0,55550,,,"Phenol, 4-(methylamino)-, sulfate (2:1)",,,,ACTIVE
98,55-56-1,55561,,,"2,4,11,13-Tetraazatetradecanediimidamide, N1,N14-bis(4-chlorophenyl)-3,12-diimino-",,,PMN,ACTIVE
99,55-57-2,55572,,,"Imidodicarbonimidic diamide, N-phenyl-, hydrochloride (1:1)",,,,INACTIVE
100,55-63-0,55630,,,"1,2,3-Propanetriol, 1,2,3-trinitrate",,,,ACTIVE
101,55-68-5,55685,,,"Mercury, (nitrato-.kappa.O)phenyl-",,,,ACTIVE
102,55-80-1,55801,,,"Benzenamine, N,N-dimethyl-4-[2-(3-methylphenyl)diazenyl]-",,,,INACTIVE
103,55-81-2,55812,,,"Benzeneethanamine, 4-methoxy-",,,,ACTIVE
104,55-91-4,55914,,,"Phosphorofluoridic acid, bis(1-methylethyl) ester",,,,ACTIVE
105,55-97-0,55970,,,"1,6-Hexanediaminium, N1,N1,N1,N6,N6,N6-hexamethyl-, bromide (1:2)",,,PMN,ACTIVE
106,56-04-2,56042,,,"4(1H)-Pyrimidinone, 2,3-dihydro-6-methyl-2-thioxo-",,,S,ACTIVE
107,56-05-3,56053,,,"2-Pyrimidinamine, 4,6-dichloro-",,,,ACTIVE
108,56-06-4,56064,,,"4(3H)-Pyrimidinone, 2,6-diamino-",,,,ACTIVE
109,56-09-7,56097,,,"4(3H)-Pyrimidinone, 2-amino-6-hydroxy-",,,,ACTIVE
110,56-10-0,56100,,,"Carbamimidothioic acid, 2-aminoethyl ester, hydrobromide (1:2)",,,,ACTIVE
111,56-12-2,56122,,,"Butanoic acid, 4-amino-",,,,ACTIVE
112,56-17-7,56177,,,"Ethanamine, 2,2'-dithiobis-, hydrochloride (1:2)",,,,ACTIVE
113,56-18-8,56188,,,"1,3-Propanediamine, N1-(3-aminopropyl)-",,,,ACTIVE
114,56-23-5,56235,,,"Methane, tetrachloro-",,,,ACTIVE
115,56-25-7,56257,,,"4,7-Epoxyisobenzofuran-1,3-dione, hexahydro-3a,7a-dimethyl-, (3aR,4S,7R,7aS)-rel-",,,,ACTIVE
116,56-33-7,56337,,,"Disiloxane, 1,1,3,3-tetramethyl-1,3-diphenyl-",,,,ACTIVE
117,56-34-8,56348,,,"Ethanaminium, N,N,N-triethyl-, chloride (1:1)",,,,ACTIVE
118,56-35-9,56359,,,"Distannoxane, 1,1,1,3,3,3-hexabutyl-",,,,ACTIVE
119,56-37-1,56371,,,"Benzenemethanaminium, N,N,N-triethyl-, chloride (1:1)",,,,ACTIVE
120,56-40-6,56406,,,Glycine,,,TP,ACTIVE
121,56-41-7,56417,,,L-Alanine,,,,ACTIVE
122,56-45-1,56451,,,L-Serine,,,,ACTIVE
123,56-49-5,56495,,,"Benz[j]aceanthrylene, 1,2-dihydro-3-methyl-",,,S,ACTIVE
124,56-53-1,56531,,,"Phenol, 4,4'-[(1E)-1,2-diethyl-1,2-ethenediyl]bis-",,,S,ACTIVE
125,56-54-2,56542,,,"Cinchonan-9-ol, 6'-methoxy-, (9S)-",,,,INACTIVE
126,56-55-3,56553,,,Benz[a]anthracene,,,,ACTIVE
127,56-65-5,56655,,,Adenosine 5'-(tetrahydrogen triphosphate),,,,ACTIVE
128,56-69-9,56699,,,"Tryptophan, 5-hydroxy-",,,,INACTIVE
129,56-73-5,56735,,,"D-Glucose, 6-(dihydrogen phosphate)",,,,INACTIVE
130,56-75-7,56757,,,"Acetamide, 2,2-dichloro-N-[(1R,2R)-2-hydroxy-1-(hydroxymethyl)-2-(4-nitrophenyl)ethyl]-",,,,ACTIVE
131,56-81-5,56815,,,"1,2,3-Propanetriol",,,,ACTIVE
132,56-82-6,56826,,,"Propanal, 2,3-dihydroxy-",,,,ACTIVE
133,56-84-8,56848,,,L-Aspartic acid,,,,ACTIVE
134,56-85-9,56859,,,L-Glutamine,,,,ACTIVE
135,56-86-0,56860,,,L-Glutamic acid,,,,ACTIVE
136,56-87-1,56871,,,L-Lysine,,,,ACTIVE
137,56-89-3,56893,,,L-Cystine,,,,ACTIVE
138,56-92-8,56928,,,"1H-Imidazole-5-ethanamine, hydrochloride (1:2)",,,,ACTIVE
139,56-93-9,56939,,,"Benzenemethanaminium, N,N,N-trimethyl-, chloride (1:1)",,,,ACTIVE
140,57-00-1,57001,,,"Glycine, N-(aminoiminomethyl)-N-methyl-",,,,ACTIVE
141,57-03-4,57034,,,"1,2,3-Propanetriol, 1-(dihydrogen phosphate)",,,,ACTIVE
142,57-04-5,57045,,,"2-Propanone, 1-hydroxy-3-(phosphonooxy)-",,,,INACTIVE
143,57-06-7,57067,,,"1-Propene, 3-isothiocyanato-",,,,ACTIVE
144,57-09-0,57090,,,"1-Hexadecanaminium, N,N,N-trimethyl-, bromide (1:1)",,,,ACTIVE
145,57-10-3,57103,,,Hexadecanoic acid,,,TP,ACTIVE
146,57-11-4,57114,,,Octadecanoic acid,,,,ACTIVE
147,57-12-5,57125,,,Cyanide,,,,ACTIVE
148,57-13-6,57136,,,Urea,,,,ACTIVE
149,57-14-7,57147,,,"Hydrazine, 1,1-dimethyl-",,,,ACTIVE
150,57-15-8,57158,,,"2-Propanol, 1,1,1-trichloro-2-methyl-",,,,ACTIVE
151,57-24-9,57249,,,Strychnidin-10-one,,,,ACTIVE
152,57-37-4,57374,,,"Benzeneacetic acid, .alpha.-hydroxy-.alpha.-phenyl-, 2-(diethylamino)ethyl ester, hydrochloride (1:1)",,,,INACTIVE
153,57-39-6,57396,,,"Aziridine, 1,1',1''-phosphinylidynetris[2-methyl-",,,,ACTIVE
154,57-40-9,57409,,,"Aziridine, 1,1'-(phenylphosphinylidene)bis[2-methyl-",,,,INACTIVE
155,57-47-6,57476,,,"Pyrrolo[2,3-b]indol-5-ol, 1,2,3,3a,8,8a-hexahydro-1,3a,8-trimethyl-, 5-(N-methylcarbamate), (3aS,8aR)-",,,,ACTIVE
156,57-48-7,57487,,,D-Fructose,,,,ACTIVE
157,57-50-1,57501,,,".alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl",,,,ACTIVE
158,57-53-4,57534,,,"1,3-Propanediol, 2-methyl-2-propyl-, 1,3-dicarbamate",,,,ACTIVE
159,57-55-6,57556,,,"1,2-Propanediol",,,,ACTIVE
160,57-56-7,57567,,,Hydrazinecarboxamide,,,,ACTIVE
161,57-57-8,57578,,,2-Oxetanone,,,,ACTIVE
162,57-62-5,57625,,,"2-Naphthacenecarboxamide, 7-chloro-4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-, (4S,4aS,5aS,6S,12aS)-",,,,ACTIVE
163,57-63-6,57636,,,"19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol, (17.alpha.)-",,,,ACTIVE
164,57-64-7,57647,,,"Benzoic acid, 2-hydroxy-, compd. with (3aS,8aR)-1,2,3,3a,8,8a-hexahydro-1,3a,8-trimethylpyrrolo[2,3-b]indol-5-yl N-methylcarbamate (1:1)",,,,ACTIVE
165,57-66-9,57669,,,"Benzoic acid, 4-[(dipropylamino)sulfonyl]-",,,,ACTIVE
166,57-67-0,57670,,,"Benzenesulfonamide, 4-amino-N-(aminoiminomethyl)-",,,,ACTIVE
167,57-68-1,57681,,,"Benzenesulfonamide, 4-amino-N-(4,6-dimethyl-2-pyrimidinyl)-",,,,ACTIVE
168,57-71-6,57716,,,"2,3-Butanedione, 2-oxime",,,,ACTIVE
169,57-83-0,57830,,,"Pregn-4-ene-3,20-dione",,,,ACTIVE
170,57-85-2,57852,,,"Androst-4-en-3-one, 17-(1-oxopropoxy)-, (17.beta.)-",,,,INACTIVE
171,57-88-5,57885,,,Cholest-5-en-3-ol (3.beta.)-,,,,ACTIVE
172,57-97-6,57976,,,"Benz[a]anthracene, 7,12-dimethyl-",,,,ACTIVE
173,58-08-2,58082,,,"1H-Purine-2,6-dione, 3,7-dihydro-1,3,7-trimethyl-",,,,ACTIVE
174,58-15-1,58151,,,"3H-Pyrazol-3-one, 4-(dimethylamino)-1,2-dihydro-1,5-dimethyl-2-phenyl-",,,,ACTIVE
175,58-18-4,58184,,,"Androst-4-en-3-one, 17-hydroxy-17-methyl-, (17.beta.)-",,,,ACTIVE
176,58-22-0,58220,,,"Androst-4-en-3-one, 17-hydroxy-, (17.beta.)-",,,,ACTIVE
177,58-27-5,58275,,,"1,4-Naphthalenedione, 2-methyl-",,,,ACTIVE
178,58-33-3,58333,,,"10H-Phenothiazine-10-ethanamine, N,N,.alpha.-trimethyl-, hydrochloride (1:1)",,,,INACTIVE
179,58-55-9,58559,,,"1H-Purine-2,6-dione, 3,9-dihydro-1,3-dimethyl-",,,,ACTIVE
180,58-56-0,58560,,,"3,4-Pyridinedimethanol, 5-hydroxy-6-methyl-, hydrochloride (1:1)",,,,ACTIVE
181,58-60-6,58606,,,"Adenosine, 3'-amino-3'-deoxy-N,N-dimethyl-",,,,INACTIVE
182,58-61-7,58617,,,Adenosine,,,,ACTIVE
183,58-63-9,58639,,,Inosine,,,,ACTIVE
184,58-64-0,58640,,,Adenosine 5'-(trihydrogen diphosphate),,,,ACTIVE
185,58-68-4,58684,,,"Adenosine 5'-(trihydrogen diphosphate), P'.fwdarw.5'-ester with 1,4-dihydro-1-.beta.-D-ribofuranosyl-3-pyridinecarboxamide",,,,INACTIVE
186,58-72-0,58720,,,"Benzene, 1,1',1''-(1-ethenyl-2-ylidene)tris-",,,,ACTIVE
187,58-73-1,58731,,,"Ethanamine, 2-(diphenylmethoxy)-N,N-dimethyl-",,,,INACTIVE
188,58-85-5,58855,,,"1H-Thieno[3,4-d]imidazole-4-pentanoic acid, hexahydro-2-oxo-, (3aS,4S,6aR)-",,,,ACTIVE
189,58-86-6,58866,,,D-Xylose,,,,ACTIVE
190,58-89-9,58899,,,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.beta.,4.alpha.,5.alpha.,6.beta.)-",,,,ACTIVE
191,58-90-2,58902,,,"Phenol, 2,3,4,6-tetrachloro-",,,,ACTIVE
192,58-93-5,58935,,,"2H-1,2,4-Benzothiadiazine-7-sulfonamide, 6-chloro-3,4-dihydro-, 1,1-dioxide",,,,ACTIVE
193,58-94-6,58946,,,"2H-1,2,4-Benzothiadiazine-7-sulfonamide, 6-chloro-, 1,1-dioxide",,,,ACTIVE
194,58-95-7,58957,,,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, 6-acetate, (2R)-",,,,ACTIVE
195,58-96-8,58968,,,Uridine,,,,ACTIVE
196,58-97-9,58979,,,5'-Uridylic acid,,,,INACTIVE
197,59-01-8,59018,,,"D-Streptamine, O-3-amino-3-deoxy-.alpha.-D-glucopyranosyl-(1.fwdarw.6)-O-[6-amino-6-deoxy-.alpha.-D-glucopyranosyl-(1.fwdarw.4)]-2-deoxy-",,,,ACTIVE
198,59-02-9,59029,,,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, (2R)-",,,,ACTIVE
199,59-05-2,59052,,,"L-Glutamic acid, N-[4-[[(2,4-diamino-6-pteridinyl)methyl]methylamino]benzoyl]-",,,,ACTIVE
200,59-14-3,59143,,,"Uridine, 5-bromo-2'-deoxy-",,,,ACTIVE
201,59-23-4,59234,,,D-Galactose,,,,ACTIVE
202,59-30-3,59303,,,"L-Glutamic acid, N-[4-[[(2-amino-3,4-dihydro-4-oxo-6-pteridinyl)methyl]amino]benzoyl]-",,,,ACTIVE
203,59-31-4,59314,,,2(1H)-Quinolinone,,,,INACTIVE
204,59-33-6,59336,,,"1,2-Ethanediamine, N1-[(4-methoxyphenyl)methyl]-N2,N2-dimethyl-N1-2-pyridinyl-, (2Z)-2-butenedioate (1:1)",,,,ACTIVE
205,59-40-5,59405,,,"Benzenesulfonamide, 4-amino-N-2-quinoxalinyl-",,,,INACTIVE
206,59-43-8,59438,,,"Thiazolium, 3-[(4-amino-2-methyl-5-pyrimidinyl)methyl]-5-(2-hydroxyethyl)-4-methyl-, chloride (1:1)",,,,ACTIVE
207,59-49-4,59494,,,2(3H)-Benzoxazolone,,,,ACTIVE
208,59-50-7,59507,,,"Phenol, 4-chloro-3-methyl-",,,,ACTIVE
209,59-51-8,59518,,,Methionine,,,,ACTIVE
210,59-52-9,59529,,,"1-Propanol, 2,3-dimercapto-",,,,ACTIVE
211,59-56-3,59563,,,".alpha.-D-Glucopyranose, 1-(dihydrogen phosphate)",,,,INACTIVE
212,59-66-5,59665,,,"Acetamide, N-[5-(aminosulfonyl)-1,3,4-thiadiazol-2-yl]-",,,,ACTIVE
213,59-67-6,59676,,,3-Pyridinecarboxylic acid,,,,ACTIVE
214,59-85-8,59858,,,"Mercurate(1-), (4-carboxylatophenyl)chloro-, hydrogen",,,,INACTIVE
215,59-87-0,59870,,,"Hydrazinecarboxamide, 2-[(5-nitro-2-furanyl)methylene]-",,,,ACTIVE
216,59-88-1,59881,,,"Hydrazine, phenyl-, hydrochloride (1:1)",,,,ACTIVE
217,59-92-7,59927,,,"L-Tyrosine, 3-hydroxy-",,,,ACTIVE
218,59-97-2,59972,,,"1H-Imidazole, 4,5-dihydro-2-(phenylmethyl)-, hydrochloride (1:1)",,,,INACTIVE
219,60-00-4,60004,,,"Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-",,,,ACTIVE
220,60-01-5,60015,,,"Butanoic acid, 1,2,3-propanetriyl ester",,,,ACTIVE
221,60-09-3,60093,,,"Benzenamine, 4-(2-phenyldiazenyl)-",,,,ACTIVE
222,60-10-6,60106,,,"Diazenecarbothioic acid, 2-phenyl-, 2-phenylhydrazide",,,,ACTIVE
223,60-11-7,60117,,,"Benzenamine, N,N-dimethyl-4-(2-phenyldiazenyl)-",,,,ACTIVE
224,60-12-8,60128,,,Benzeneethanol,,,,ACTIVE
225,60-18-4,60184,,,L-Tyrosine,,,,ACTIVE
226,60-19-5,60195,,,"Phenol, 4-(2-aminoethyl)-, hydrochloride (1:1)",,,,ACTIVE
227,60-24-2,60242,,,"Ethanol, 2-mercapto-",,,,ACTIVE
228,60-25-3,60253,,,"1,6-Hexanediaminium, N1,N1,N1,N6,N6,N6-hexamethyl-, chloride (1:2)",,,,ACTIVE
229,60-27-5,60275,,,"4H-Imidazol-4-one, 2-amino-1,5-dihydro-1-methyl-",,,,ACTIVE
230,60-29-7,60297,,,"Ethane, 1,1'-oxybis-",,,,ACTIVE
231,60-31-1,60311,,,"Ethanaminium, 2-(acetyloxy)-N,N,N-trimethyl-, chloride (1:1)",,,,ACTIVE
232,60-32-2,60322,,,"Hexanoic acid, 6-amino-",,,,ACTIVE
233,60-33-3,60333,,,"9,12-Octadecadienoic acid (9Z,12Z)-",,,,ACTIVE
234,60-34-4,60344,,,"Hydrazine, methyl-",,,,ACTIVE
235,60-35-5,60355,,,Acetamide,,,,ACTIVE
236,60-51-5,60515,,,"Phosphorodithioic acid, O,O-dimethyl S-[2-(methylamino)-2-oxoethyl] ester",,,,ACTIVE
237,60-56-0,60560,,,"2H-Imidazole-2-thione, 1,3-dihydro-1-methyl-",,,,ACTIVE
238,60-80-0,60800,,,"3H-Pyrazol-3-one, 1,2-dihydro-1,5-dimethyl-2-phenyl-",,,,ACTIVE
239,60-92-4,60924,,,"Adenosine, cyclic 3',5'-(hydrogen phosphate)",,,,ACTIVE
240,60-93-5,60935,,,"Cinchonan-9-ol, 6'-methoxy-, hydrochloride (1:2), (8.alpha.,9R)-",,,,INACTIVE
241,61-19-8,61198,,,5'-Adenylic acid,,,,ACTIVE
